Family,SpeciesName,WoodDensity
Leguminosae,Amburana cearensis,0.56
Leguminosae,Amburana cearensis,0.6
Leguminosae,Amburana cearensis,0.53
Leguminosae,Amburana cearensis,0.54
Leguminosae,Amburana cearensis,0.52
Leguminosae,Amburana cearensis,0.6
Leguminosae,Amburana cearensis,0.49
Leguminosae,Amburana cearensis,0.43
Ulmaceae,Ampelocera edentula,0.67
Leguminosae,Amphimas pterocarpoides,0.72
Leguminosae,Amphimas pterocarpoides,0.7
Leguminosae,Amphimas sp,0.56
Anacardiaceae,Anacardium giganteum,0.51
Anacardiaceae,Anacardium giganteum,0.43
Anacardiaceae,Anacardium giganteum,0.54
Leguminosae,Andira coriacea,0.64
Leguminosae,Andira coriacea,0.75
Leguminosae,Andira coriacea,0.77
Leguminosae,Andira coriacea,0.73
Leguminosae,Andira coriacea,0.84
Leguminosae,Andira inermis,0.65
Leguminosae,Andira inermis,0.72
Leguminosae,Andira inermis,0.65
Leguminosae,Andira parviflora,0.64
Leguminosae,Andira parviflora,0.82
Leguminosae,Andira sp,0.76
Leguminosae,Andira sp,0.79
Leguminosae,Andira sp,0.61
Leguminosae,Andira sp,0.62
Leguminosae,Andira sp,0.79
Leguminosae,Andira sp,0.77
Lauraceae,Aniba burchellii,0.61
Lauraceae,Aniba canellila,0.98
Lauraceae,Aniba canellila,0.85
Lauraceae,Aniba canellila,1.02
Lauraceae,Aniba melinonii,0.77
Lauraceae,Aniba parviflora,0.54
Lauraceae,Aniba parviflora,0.53
Lauraceae,Aniba puchury-minor,0.49
Dipterocarpaceae,Anisoptera costata,0.54
Dipterocarpaceae,Anisoptera costata,0.51
Dipterocarpaceae,Anisoptera costata,0.53
Dipterocarpaceae,Anisoptera costata,0.49
Dipterocarpaceae,Anisoptera laevis,0.47
Dipterocarpaceae,Anisoptera thurifera,0.59
Annonaceae,Annickia chlorantha,0.43
Annonaceae,Annickia chlorantha,0.46
Annonaceae,Annickia chlorantha,0.49
Annonaceae,Anonidium mannii,0.29
Rhizophoraceae,Anopyxis klaineana,0.73
Rhizophoraceae,Anopyxis klaineana,0.71
Rhizophoraceae,Anopyxis klaineana,0.7
Rhizophoraceae,Anopyxis klaineana,0.73
Rhizophoraceae,Anopyxis klaineana,0.72
Rhizophoraceae,Anopyxis klaineana,0.73
Meliaceae,Anthocarpa nitidula,0.79
Meliaceae,Anthocarpa nitidula,0.73
Meliaceae,Anthocarpa nitidula,0.74
Meliaceae,Anthocarpa nitidula,0.7
Gentianaceae,Anthocleista nobilis,0.5
Gentianaceae,Anthocleista nobilis,0.47
Gentianaceae,Anthocleista nobilis,0.45
Gentianaceae,Anthocleista sp,0.5
Leguminosae,Anthonotha fragrans,0.63
Leguminosae,Anthonotha fragrans,0.6
Leguminosae,Anthonotha fragrans,0.63
Euphorbiaceae,Anthostema madagascariense,0.46
Euphorbiaceae,Anthostema madagascariense,0.47
Moraceae,Antiaris toxicaria,0.41
Moraceae,Antiaris toxicaria,0.37
Moraceae,Antiaris toxicaria,0.34
Moraceae,Antiaris toxicaria,0.37
Moraceae,Antiaris toxicaria,0.38
Moraceae,Antiaris toxicaria,0.39
Moraceae,Antiaris toxicaria,0.45
Moraceae,Antiaris toxicaria,0.37
Loganiaceae,Antonia ovata,0.51
Loganiaceae,Antonia ovata,0.49
Loganiaceae,Antonia ovata,0.45
Loganiaceae,Antonia ovata,0.47
Loganiaceae,Antonia ovata,0.46
Loganiaceae,Antonia ovata,0.41
Anacardiaceae,Antrocaryon klaineanum,0.51
Anacardiaceae,Antrocaryon klaineanum,0.47
Anacardiaceae,Antrocaryon klaineanum,0.49
Anacardiaceae,Antrocaryon klaineanum,0.41
Anacardiaceae,Antrocaryon micraster,0.42
Rubiaceae,Aoranthe cladantha,0.74
Malvaceae,Apeiba membranacea,0.29
Leguminosae,Aphanocalyx heitzii,0.4
Leguminosae,Aphanocalyx heitzii,0.43
Leguminosae,Aphanocalyx heitzii,0.48
Leguminosae,Aphanocalyx heitzii,0.45
Leguminosae,Aphanocalyx heitzii,0.45
Leguminosae,Aphanocalyx heitzii,0.55
Leguminosae,Aphanocalyx heitzii,0.4
Leguminosae,Aphanocalyx heitzii,0.39
Leguminosae,Aphanocalyx heitzii,0.49
Leguminosae,Aphanocalyx heitzii,0.4
Leguminosae,Aphanocalyx heitzii,0.47
Compositae,Apodocephala pauciflora,0.5
Icacinaceae,Apodytes clusiifolia,0.67
Icacinaceae,Apodytes clusiifolia,0.6
Icacinaceae,Apodytes clusiifolia,0.6
Icacinaceae,Apodytes clusiifolia,0.62
Leguminosae,Apuleia leiocarpa,0.76
Leguminosae,Apuleia leiocarpa,0.65
Leguminosae,Apuleia leiocarpa,0.64
Leguminosae,Apuleia leiocarpa,0.67
Leguminosae,Apuleia leiocarpa,0.66
Leguminosae,Apuleia leiocarpa,0.67
Leguminosae,Apuleia leiocarpa,0.69
Leguminosae,Apuleia leiocarpa,0.74
Leguminosae,Apuleia leiocarpa,0.58
Leguminosae,Apuleia leiocarpa,0.67
Leguminosae,Apuleia leiocarpa,0.62
Araucariaceae,Araucaria angustifolia,0.47
Araucariaceae,Araucaria angustifolia,0.38
Araucariaceae,Araucaria angustifolia,0.41
Araucariaceae,Araucaria angustifolia,0.4
Araucariaceae,Araucaria angustifolia,0.48
Araucariaceae,Araucaria angustifolia,0.47
Araucariaceae,Araucaria angustifolia,0.49
Araucariaceae,Araucaria angustifolia,0.46
Araucariaceae,Araucaria angustifolia,0.47
Araucariaceae,Araucaria angustifolia,0.5
Araucariaceae,Araucaria angustifolia,0.41
Araucariaceae,Araucaria columnaris,0.4
Araucariaceae,Araucaria columnaris,0.43
Araucariaceae,Araucaria luxurians,0.4
Araucariaceae,Araucaria luxurians,0.39
Araucariaceae,Araucaria subulata,0.51
Araucariaceae,Araucaria subulata,0.46
Araucariaceae,Araucaria subulata,0.44
Leguminosae,Archidendropsis granulosa,0.52
Leguminosae,Archidendropsis granulosa,0.7
Leguminosae,Archidendropsis granulosa,0.59
Leguminosae,Archidendropsis granulosa,0.48
Leguminosae,Archidendropsis granulosa,0.51
Leguminosae,Archidendropsis granulosa,0.42
Myrtaceae,Arillastrum gummiferum,0.8
Myrtaceae,Arillastrum gummiferum,0.82
Myrtaceae,Arillastrum gummiferum,0.81
Moraceae,Artocarpus altilis,0.28
Sapindaceae,Arytera collina,0.93
Sapindaceae,Arytera collina,0.91
Apocynaceae,Aspidosperma album,0.65
Apocynaceae,Aspidosperma album,0.86
Apocynaceae,Aspidosperma album,0.88
Apocynaceae,Aspidosperma album,0.77
Apocynaceae,Aspidosperma album,0.68
Apocynaceae,Aspidosperma album,0.72
Apocynaceae,Aspidosperma album,0.73
Apocynaceae,Aspidosperma album,0.73
Apocynaceae,Aspidosperma cylindrocarpon,0.73
Apocynaceae,Aspidosperma obscurinervium,0.74
Apocynaceae,Aspidosperma obscurinervium,0.76
Apocynaceae,Aspidosperma obscurinervium,0.82
Apocynaceae,Aspidosperma obscurinervium,0.83
Apocynaceae,Aspidosperma sandwithianum,0.77
Apocynaceae,Aspidosperma sp,0.76
Asteropeiaceae,Asteropeia rhopaloides,0.84
Asteropeiaceae,Asteropeia rhopaloides,0.75
Asteropeiaceae,Asteropeia sp,0.81
Anacardiaceae,Astronium lecointei,0.74
Meliaceae,Astrotrichilia thouvenotii,0.49
Meliaceae,Astrotrichilia thouvenotii,0.58
Burseraceae,Aucoumea klaineana,0.41
Burseraceae,Aucoumea klaineana,0.33
Burseraceae,Aucoumea klaineana,0.35
Burseraceae,Aucoumea klaineana,0.42
Burseraceae,Aucoumea klaineana,0.35
Burseraceae,Aucoumea klaineana,0.41
Burseraceae,Aucoumea klaineana,0.38
Burseraceae,Aucoumea klaineana,0.37
Burseraceae,Aucoumea klaineana,0.26
Burseraceae,Aucoumea klaineana,0.45
Burseraceae,Aucoumea klaineana,0.29
Burseraceae,Aucoumea klaineana,0.37
Burseraceae,Aucoumea klaineana,0.39
Sapotaceae,Autranella congolensis,0.82
Sapotaceae,Autranella congolensis,0.75
Sapotaceae,Autranella congolensis,0.76
Sapotaceae,Autranella congolensis,0.77
Sapotaceae,Autranella congolensis,0.78
Acanthaceae,Avicennia germinans,0.7
Acanthaceae,Avicennia germinans,0.65
Acanthaceae,Avicennia germinans,0.55
Moraceae,Bagassa guianensis,0.68
Moraceae,Bagassa guianensis,0.7
Moraceae,Bagassa guianensis,0.75
Moraceae,Bagassa guianensis,0.63
Moraceae,Bagassa guianensis,0.6
Moraceae,Bagassa guianensis,0.72
Sapotaceae,Baillonella toxisperma,0.69
Sapotaceae,Baillonella toxisperma,0.78
Sapotaceae,Baillonella toxisperma,0.72
Rutaceae,Balfourodendron riedelianum,0.72
Rutaceae,Balfourodendron riedelianum,0.68
Rutaceae,Balfourodendron riedelianum,0.65
Lauraceae,Beilschmiedia corbisieri,0.61
Lauraceae,Beilschmiedia diversiflora,0.53
Lauraceae,Beilschmiedia letouzeyi,0.54
Lauraceae,Beilschmiedia nitida,0.54
Lauraceae,Beilschmiedia sp,0.61
Lauraceae,Beilschmiedia sp,0.63
Lauraceae,Beilschmiedia sp,0.63
Lauraceae,Beilschmiedia sp,0.6
Lauraceae,Beilschmiedia sp,0.58
Lauraceae,Beilschmiedia velutina,0.56
Leguminosae,Berlinia bracteosa,0.56
Leguminosae,Berlinia bracteosa,0.61
Leguminosae,Berlinia bracteosa,0.51
Leguminosae,Berlinia confusa,0.59
Leguminosae,Berlinia confusa,0.62
Leguminosae,Berlinia confusa,0.59
Leguminosae,Berlinia confusa,0.68
Leguminosae,Berlinia confusa,0.58
Leguminosae,Berlinia grandiflora,0.62
Leguminosae,Berlinia sp,0.51
Leguminosae,Berlinia viridicans,0.55
Lecythidaceae,Bertholletia excelsa,0.64
Lecythidaceae,Bertholletia excelsa,0.67
Lecythidaceae,Bertholletia excelsa,0.6
Leguminosae,Bikinia grisea,0.63
Leguminosae,Bikinia grisea,0.56
Leguminosae,Bikinia grisea,0.54
Leguminosae,Bikinia grisea,0.53
Leguminosae,Bikinia grisea,0.62
Leguminosae,Bikinia grisea,0.56
Leguminosae,Bikinia grisea,0.5
Leguminosae,Bikinia grisea,0.58
Leguminosae,Bikinia grisea,0.53
Leguminosae,Bikinia le-testui,0.5
Leguminosae,Bikinia le-testui,0.5
Leguminosae,Bikinia le-testui,0.58
Leguminosae,Bikinia le-testui,0.63
Leguminosae,Bikinia le-testui,0.64
Leguminosae,Bikinia le-testui,0.51
Leguminosae,Bikinia le-testui,0.51
Leguminosae,Bikinia le-testui,0.46
Leguminosae,Bikinia pellegrinii,0.51
Leguminosae,Bikinia pellegrinii,0.52
Leguminosae,Bikinia pellegrinii,0.46
Leguminosae,Bikinia pellegrinii,0.47
Bixaceae,Bixa arborea,0.28
Bixaceae,Bixa arborea,0.33
Bixaceae,Bixa arborea,0.35
Bixaceae,Bixa arborea,0.37
Sapindaceae,Blighia sapida,0.55
Sapindaceae,Blighia welwitschii,0.72
Leguminosae,Bobgunnia fistuloides,0.87
Leguminosae,Bobgunnia fistuloides,0.88
Leguminosae,Bocoa prouacensis,1.01
Leguminosae,Bocoa prouacensis,1
Leguminosae,Bocoa prouacensis,1
Leguminosae,Bocoa prouacensis,0.97
Leguminosae,Bocoa prouacensis,1.08
Leguminosae,Bocoa prouacensis,1.01
Leguminosae,Bocoa prouacensis,0.99
Leguminosae,Bocoa prouacensis,0.98
Leguminosae,Bocoa prouacensis,0.97
Leguminosae,Bocoa prouacensis,1
Leguminosae,Bocoa prouacensis,0.93
Malvaceae,Bombax costatum,0.35
Malvaceae,Bombax costatum,0.34
Malvaceae,Bombax costatum,0.33
Malvaceae,Bombax costatum,0.32
Malvaceae,Bombax costatum,0.34
Malvaceae,Bombax costatum,0.42
Malvaceae,Bombax sp,0.25
Arecaceae,Borassus aethiopum,0.73
Arecaceae,Borassus aethiopum,0.89
Compositae,Brachylaena ramiflora,0.79
Compositae,Brachylaena ramiflora,0.75
Compositae,Brachylaena ramiflora,0.78
Compositae,Brachylaena ramiflora,0.76
Compositae,Brachylaena ramiflora,0.74
Compositae,Brachylaena ramiflora,0.76
Compositae,Brachylaena ramiflora,0.78
Leguminosae,Brachystegia cynometroides,0.52
Leguminosae,Brachystegia cynometroides,0.6
Leguminosae,Brachystegia cynometroides,0.53
Leguminosae,Brachystegia cynometroides,0.54
Leguminosae,Brachystegia cynometroides,0.52
Leguminosae,Brachystegia cynometroides,0.45
Leguminosae,Brachystegia cynometroides,0.51
Leguminosae,Brachystegia cynometroides,0.61
Leguminosae,Brachystegia laurentii,0.56
Leguminosae,Brachystegia laurentii,0.45
Leguminosae,Brachystegia laurentii,0.46
Leguminosae,Brachystegia laurentii,0.5
Leguminosae,Brachystegia laurentii,0.48
Leguminosae,Brachystegia laurentii,0.46
Leguminosae,Brachystegia laurentii,0.46
Leguminosae,Brachystegia laurentii,0.49
Leguminosae,Brachystegia laurentii,0.43
Leguminosae,Brachystegia laurentii,0.5
Leguminosae,Brachystegia laurentii,0.46
Leguminosae,Brachystegia laurentii,0.51
Leguminosae,Brachystegia leonensis,0.4
Leguminosae,Brachystegia leonensis,0.47
Leguminosae,Brachystegia mildbraedii,0.49
Leguminosae,Brachystegia mildbraedii,0.47
Leguminosae,Brachystegia mildbraedii,0.47
Leguminosae,Brachystegia mildbraedii,0.51
Leguminosae,Brachystegia mildbraedii,0.47
Leguminosae,Brachystegia mildbraedii,0.53
Leguminosae,Brachystegia mildbraedii,0.4
Leguminosae,Brachystegia mildbraedii,0.5
Leguminosae,Brachystegia mildbraedii,0.43
Leguminosae,Brachystegia mildbraedii,0.48
Leguminosae,Brachystegia mildbraedii,0.41
Leguminosae,Brachystegia mildbraedii,0.49
Leguminosae,Brachystegia sp,0.47
Leguminosae,Brachystegia sp,0.44
Rubiaceae,Breonia decaryana,0.87
Rubiaceae,Breonia decaryana,0.67
Rubiaceae,Breonia macrocarpa,0.68
Rubiaceae,Breonia perrieri,0.72
Rubiaceae,Breonia sp,0.7
Rubiaceae,Breonia sp,0.65
Rubiaceae,Breonia sp,0.64
Sapotaceae,Breviea sericea,0.51
Phyllanthaceae,Bridelia grandis,0.49
Phyllanthaceae,Bridelia micrantha,0.42
Phyllanthaceae,Bridelia tulasneana,0.44
Moraceae,Brosimum parinarioides,0.57
Moraceae,Brosimum parinarioides,0.49
Moraceae,Brosimum potabile,0.55
Moraceae,Brosimum potabile,0.58
Moraceae,Brosimum rubescens,1.01
Moraceae,Brosimum rubescens,1.11
Moraceae,Brosimum rubescens,1.02
Moraceae,Brosimum rubescens,0.88
Moraceae,Brosimum rubescens,0.88
Moraceae,Brosimum rubescens,0.89
Moraceae,Brosimum rubescens,0.81
Moraceae,Brosimum utile,0.4
Moraceae,Broussonetia greveana,0.43
Moraceae,Broussonetia greveana,0.41
Moraceae,Broussonetia greveana,0.4
Combretaceae,Buchenavia oxycarpa,0.83
Combretaceae,Buchenavia oxycarpa,0.8
Combretaceae,Buchenavia oxycarpa,0.78
Malpighiaceae,Byrsonima spicata,0.51
Malpighiaceae,Byrsonima spicata,0.59
Meliaceae,Cabralea cangerana,0.45
Cupressaceae,Callitris columellaris,0.49
Cupressaceae,Callitris columellaris,0.48
Cupressaceae,Callitris columellaris,0.48
Cupressaceae,Callitris endlicheri,0.56
Cupressaceae,Callitris endlicheri,0.52
Cupressaceae,Callitris preissii,0.48
Cupressaceae,Callitris preissii,0.51
Cupressaceae,Callitris preissii,0.5
Cupressaceae,Callitris sp,0.61
Cupressaceae,Callitris sp,0.53
Cupressaceae,Callitris sp,0.68
Clusiaceae,Calophyllum angulare,0.5
Clusiaceae,Calophyllum brasiliense,0.55
Clusiaceae,Calophyllum brasiliense,0.52
Clusiaceae,Calophyllum calaba,0.52
Clusiaceae,Calophyllum caledonicum,0.67
Clusiaceae,Calophyllum caledonicum,0.6
Clusiaceae,Calophyllum caledonicum,0.58
Clusiaceae,Calophyllum caledonicum,0.65
Clusiaceae,Calophyllum caledonicum,0.63
Clusiaceae,Calophyllum caledonicum,0.66
Clusiaceae,Calophyllum caledonicum,0.71
Clusiaceae,Calophyllum caledonicum,0.68
Clusiaceae,Calophyllum drouhardii,0.57
Clusiaceae,Calophyllum ferrugineum,0.78
Clusiaceae,Calophyllum inophyllum,0.54
Clusiaceae,Calophyllum inophyllum,0.53
Clusiaceae,Calophyllum milvum,0.63
Clusiaceae,Calophyllum milvum,0.7
Clusiaceae,Calophyllum milvum,0.68
Clusiaceae,Calophyllum milvum,0.73
Clusiaceae,Calophyllum milvum,0.62
Clusiaceae,Calophyllum milvum,0.73
Clusiaceae,Calophyllum neoebudicum,0.53
Clusiaceae,Calophyllum neoebudicum,0.49
Clusiaceae,Calophyllum neoebudicum,0.52
Clusiaceae,Calophyllum neoebudicum,0.53
Clusiaceae,Calophyllum neoebudicum,0.48
Clusiaceae,Calophyllum neoebudicum,0.49
Clusiaceae,Calophyllum neoebudicum,0.53
Clusiaceae,Calophyllum neoebudicum,0.57
Clusiaceae,Calophyllum sp,0.48
Clusiaceae,Calophyllum sp,0.5
Clusiaceae,Calophyllum sp,0.47
Clusiaceae,Calophyllum sp,0.5
Leguminosae,Calpocalyx heitzii,0.63
Leguminosae,Calpocalyx heitzii,0.63
Leguminosae,Calpocalyx heitzii,0.72
Leguminosae,Calpocalyx heitzii,0.71
Leguminosae,Calpocalyx heitzii,0.63
Leguminosae,Calpocalyx heitzii,0.7
Leguminosae,Calpocalyx heitzii,0.62
Leguminosae,Calpocalyx heitzii,0.73
Leguminosae,Calpocalyx heitzii,0.66
Leguminosae,Calpocalyx heitzii,0.7
Leguminosae,Calpocalyx sp,0.76
Leguminosae,Calpocalyx sp,0.66
Rubiaceae,Calycophyllum sp,0.7
Burseraceae,Canarium madagascariense,0.51
Burseraceae,Canarium madagascariense,0.49
Burseraceae,Canarium madagascariense,0.52
Burseraceae,Canarium madagascariense,0.54
Burseraceae,Canarium madagascariense,0.45
Burseraceae,Canarium madagascariense,0.52
Burseraceae,Canarium madagascariense,0.45
Burseraceae,Canarium madagascariense,0.54
Burseraceae,Canarium madagascariense,0.52
Burseraceae,Canarium madagascariense,0.53
Burseraceae,Canarium madagascariense,0.45
Burseraceae,Canarium madagascariense,0.53
Burseraceae,Canarium madagascariense,0.48
Burseraceae,Canarium oleiferum,0.43
Burseraceae,Canarium sp,0.29
Burseraceae,Canarium sp,0.52
Burseraceae,Canarium velutinum,0.36
Burseraceae,Canarium velutinum,0.31
Burseraceae,Canarium velutinum,0.53
Burseraceae,Canarium velutinum,0.41
Burseraceae,Canarium velutinum,0.33
Burseraceae,Canarium velutinum,0.39
Burseraceae,Canarium velutinum,0.46
Rubiaceae,Canthium sp,0.81
Rubiaceae,Canthium sp,0.79
Rubiaceae,Canthium sp,0.78
Calophyllaceae,Caraipa densifolia,0.52
Calophyllaceae,Caraipa densifolia,0.63
Calophyllaceae,Caraipa densifolia,0.51
Calophyllaceae,Caraipa densifolia,0.57
Calophyllaceae,Caraipa densifolia,0.62
Calophyllaceae,Caraipa densifolia,0.69
Meliaceae,Carapa guianensis,0.56
Meliaceae,Carapa guianensis,0.56
Meliaceae,Carapa guianensis,0.61
Meliaceae,Carapa guianensis,0.63
Meliaceae,Carapa guianensis,0.47
Meliaceae,Carapa guianensis,0.56
Meliaceae,Carapa guianensis,0.59
Meliaceae,Carapa guianensis,0.6
Meliaceae,Carapa guianensis,0.55
Meliaceae,Carapa guianensis,0.55
Meliaceae,Carapa guianensis,0.61
Meliaceae,Carapa guianensis,0.46
Meliaceae,Carapa guianensis,0.47
Meliaceae,Carapa guianensis,0.55
Meliaceae,Carapa guianensis,0.57
Meliaceae,Carapa guianensis,0.51
Meliaceae,Carapa guianensis,0.54
Meliaceae,Carapa guianensis,0.55
Meliaceae,Carapa guianensis,0.56
Meliaceae,Carapa procera,0.7
Meliaceae,Carapa procera,0.61
Meliaceae,Carapa procera,0.55
Meliaceae,Carapa procera,0.55
Meliaceae,Carapa procera,0.57
Meliaceae,Carapa sp,0.54
Meliaceae,Carapa sp,0.58
Meliaceae,Carapa sp,0.49
Lecythidaceae,Cariniana pyriformis,0.55
Lecythidaceae,Cariniana pyriformis,0.6
Lecythidaceae,Cariniana pyriformis,0.57
Lecythidaceae,Cariniana pyriformis,0.54
Lecythidaceae,Cariniana pyriformis,0.6
Lecythidaceae,Cariniana pyriformis,0.54
Lecythidaceae,Cariniana pyriformis,0.56
Lecythidaceae,Cariniana pyriformis,0.58
Lecythidaceae,Cariniana pyriformis,0.55
Lecythidaceae,Cariniana pyriformis,0.55
Betulaceae,Carpinus betulus,0.55
Juglandaceae,Carya sp,0.65
Juglandaceae,Carya sp,0.68
Caryocaraceae,Caryocar glabrum,0.68
Caryocaraceae,Caryocar glabrum,0.71
Caryocaraceae,Caryocar glabrum,0.69
Caryocaraceae,Caryocar glabrum,0.68
Caryocaraceae,Caryocar glabrum,0.71
Caryocaraceae,Caryocar glabrum,0.65
Caryocaraceae,Caryocar glabrum,0.66
Caryocaraceae,Caryocar glabrum,0.68
Caryocaraceae,Caryocar glabrum,0.6
Caryocaraceae,Caryocar glabrum,0.65
Caryocaraceae,Caryocar glabrum,0.56
Caryocaraceae,Caryocar glabrum,0.71
Caryocaraceae,Caryocar microcarpum,0.61
Caryocaraceae,Caryocar sp,0.62
Caryocaraceae,Caryocar villosum,0.67
Rhizophoraceae,Cassipourea guianensis,0.63
Fagaceae,Castanopsis acuminatissima,0.53
Fagaceae,Castanopsis acuminatissima,0.52
Fagaceae,Castanopsis acuminatissima,0.54
Leguminosae,Castanospermum australe,0.7
Casuarinaceae,Casuarina collina,0.89
Casuarinaceae,Casuarina collina,0.67
Casuarinaceae,Casuarina collina,0.66
Casuarinaceae,Casuarina collina,0.59
Casuarinaceae,Casuarina collina,0.7
Casuarinaceae,Casuarina equisetifolia,0.84
Casuarinaceae,Casuarina equisetifolia,0.88
Casuarinaceae,Casuarina equisetifolia,0.84
Casuarinaceae,Casuarina equisetifolia,0.85
Casuarinaceae,Casuarina equisetifolia,0.82
Casuarinaceae,Casuarina equisetifolia,0.82
Casuarinaceae,Casuarina glauca,0.77
Casuarinaceae,Casuarina glauca,0.75
Casuarinaceae,Casuarina glauca,0.76
Casuarinaceae,Casuarina glauca,0.75
Casuarinaceae,Casuarina glauca,0.74
Leguminosae,Cathormion altissimum,0.57
Malvaceae,Catostemma albuquerquei,0.71
Malvaceae,Catostemma fragrans,0.72
Urticaceae,Cecropia sciadophylla,0.22
Urticaceae,Cecropia sciadophylla,0.31
Urticaceae,Cecropia sciadophylla,0.26
Urticaceae,Cecropia sciadophylla,0.24
