Family,SpeciesName,WoodDensity
Sapindaceae,Acer saccharum,0.56
Sapindaceae,Acer sterculiaceum,0.353
Sapindaceae,Acer truncatum,0.59
Elaeocarpaceae,Aceratium concinnum,0.62
Elaeocarpaceae,Aceratium concinnum,0.62
Elaeocarpaceae,Aceratium doggrellii,0.525
Elaeocarpaceae,Aceratium megalospermum,0.538
Elaeocarpaceae,Aceratium megalospermum,0.538
Elaeocarpaceae,Aceratium sericeum,0.42
Chrysobalanaceae,Acioa edulis,0.82
Chrysobalanaceae,Acioa guianensis,0.86
Malpighiaceae,Acmanthera latifolia,0.69
Myrtaceae,Acmena acuminatissima,0.63
Myrtaceae,Acmena graveolens,0.512
Myrtaceae,Acmena graveolens,0.512
Myrtaceae,Acmena hemilampra,0.62
Myrtaceae,Acmena ingens,0.456
Myrtaceae,Acmena ingens,0.456
Myrtaceae,Acmena ingens,0.456
Myrtaceae,Acmena macrocarpa,0.512
Myrtaceae,Acmena resa,0.676
Myrtaceae,Acmena smithii,0.612
Myrtaceae,Acmena smithii,0.607
Myrtaceae,Acmena smithii,0.65
Myrtaceae,Acmena smithii,0.676
Myrtaceae,Acmena smithii,0.607
Myrtaceae,Acmena smithii,0.676
Myrtaceae,Acmenosperma claviflorum,0.758
Apocynaceae,Acokanthera oppositifolia,0.784
Fabaceae,Acosmium dasycarpum,0.7
Fabaceae,Acosmium nitens,0.74
Fabaceae,Acosmium nitens,0.827
Fabaceae,Acosmium nitens,0.82
Fabaceae,Acosmium panamense,0.81
Fabaceae,Acosmium praeclarum,0.68
Rutaceae,Acradenia euodiiformis,0.771
Rutaceae,Acradenia euodiiformis,0.771
Rutaceae,Acradenia frankliniae,0.628
Fabaceae,Acrocarpus fraxinifolius,0.68
Fabaceae,Acrocarpus fraxinifolius,0.503
Rutaceae,Acronychia acidula,0.551
Rutaceae,Acronychia acronychioides,0.538
Rutaceae,Acronychia goniocarpa,0.51
Rutaceae,Acronychia haplophylla,0.719
Rutaceae,Acronychia haplophylla,0.719
Rutaceae,Acronychia laevis,0.523
Rutaceae,Acronychia laevis,0.551
Rutaceae,Acronychia melicopoides,0.538
Rutaceae,Acronychia octandra,0.551
Rutaceae,Acronychia octandra,0.551
