feature,score,p_value,rank
V81_isna,84.6569148779867,3.631240508413195e-20,315
V93_isna,84.6569148779867,3.631240508413195e-20,316
V91_isna,84.6569148779867,3.631240508413195e-20,317
V88_isna,84.6569148779867,3.631240508413195e-20,318
V83_isna,84.6569148779867,3.631240508413195e-20,319
V78_isna,84.6569148779867,3.631240508413195e-20,320
V87_isna,84.6569148779867,3.631240508413195e-20,321
V90_isna,84.6569148779867,3.631240508413195e-20,322
V77_isna,84.6569148779867,3.631240508413195e-20,323
V76_isna,84.6569148779867,3.631240508413195e-20,324
V84_isna,84.6569148779867,3.631240508413195e-20,325
V312,76.9988724854092,1.743357311451714e-18,326
C2,73.37450415462169,1.0911063358618462e-17,327
C9,71.44220485421738,2.902157598728151e-17,328
C5,66.13034140912038,4.280485866875526e-16,329
id_14,60.195816075030194,8.688443931868273e-15,330
V53,60.12127329620756,9.023544898758169e-15,331
V120,55.76448024077993,8.25202434688717e-14,332
V300,53.39008049117731,2.760114868658842e-13,333
addr2,51.418006436627586,7.52937289005252e-13,334
V292,50.965102925088466,9.481869481713887e-13,335
V202,50.85739168083233,1.001638301915383e-12,336
V162,50.57859238567768,1.1544176986945892e-12,337
V163,50.26234782205483,1.3561357061040035e-12,338
V161,49.0256886361262,2.546133451497398e-12,339
V326,48.730961688946245,2.958700429219527e-12,340
V327,48.7197633878003,2.975631894938109e-12,341
V325,48.698704855918514,3.007734778534521e-12,342
V328,48.65333719136955,3.078078596094435e-12,343
V330,48.50296847036036,3.3232162499700724e-12,344
V98,48.40281040831075,3.4972463216717594e-12,345
V329,48.32354339616193,3.641419655449882e-12,346
V211,47.5628441832647,5.3662173713048814e-12,347
V322,46.572186294490876,8.893075928793777e-12,348
V324,45.538628853748,1.5067312884001812e-11,349
V140,45.453292925112976,1.5737893440323056e-11,350
V158,45.34247395408295,1.665350403834803e-11,351
V156,45.313235324279596,1.6903845673254266e-11,352
V139,45.30497479404335,1.697525242563039e-11,353
V149,45.30258119662937,1.699599983203864e-11,354
V147,45.28169372562352,1.7178130347629728e-11,355
V157,45.25676110389903,1.7398092342181843e-11,356
V155,45.23266202651234,1.7613379517302645e-11,357
V148,45.22286845852704,1.770162968812753e-11,358
V146,45.207124457571325,1.7844427951670212e-11,359
V154,45.18136299975348,1.8080575705048994e-11,360
V153,45.15094334576419,1.8363454451591538e-11,361
V142,45.050265905027686,1.9331649716493172e-11,362
V138,45.03762766337658,1.9456744608649364e-11,363
V141,45.03369347626495,1.949585080179361e-11,364
V4,44.737092648222806,2.2682370503579108e-11,365
V323,44.1891128836854,3.000410489319115e-11,366
V144,44.072592523966534,3.184332269785364e-11,367
V151,43.44565479917331,4.3859427176893456e-11,368
V152,42.70159721126878,6.414138517266261e-11,369
V334,42.50782098868237,7.081729322977463e-11,370
V143,42.29214695491521,7.906871257476576e-11,371
C8,42.130255611384385,8.588895303366892e-11,372
V336,41.99742580341472,9.192250286490406e-11,373
C12,41.98824968281995,9.235464862003582e-11,374
C1,41.80295463906547,1.0152961344765125e-10,375
id_32,40.727953509007605,1.7591964302869544e-10,376
C4,40.074689051346084,2.457260657313666e-10,377
V291,39.80864248667475,2.8156237871516927e-10,378
V54,38.972431255875996,4.3198135056174617e-10,379
V145,38.48036832651029,5.557689376967714e-10,380
V122,38.146886644314925,6.592886437188712e-10,381
V335,36.88169522915857,1.2608214767133043e-09,382
V337,35.115639632355965,3.119623342372992e-09,383
V131,34.349681382763265,4.622743381379917e-09,384
V287,32.95772827040257,9.45239940320791e-09,385
C11,31.459251692772973,2.0434024174575562e-08,386
C10,29.63229891784167,5.2380431032212966e-08,387
V213,29.459787483358145,5.725440933568515e-08,388
C7,28.897697368737887,7.651653690105331e-08,389
V204,26.97079898402945,2.0705684522970556e-07,390
id_24,26.00758189089753,3.408532064667519e-07,391
V160,25.601215810692494,4.2070162483925297e-07,392
id_26,24.459493609680273,7.604207464557477e-07,393
id_21,24.275270336019034,8.367068410139592e-07,394
id_22,23.124541661720258,1.5211580749541018e-06,395
id_25,22.885175808316383,1.722789507218398e-06,396
id_07,22.53106916120634,2.071290613226219e-06,397
id_08,21.782729296052814,3.0583025758259216e-06,398
V339,21.291805805008362,3.950246102108392e-06,399
C13,20.31103345061148,6.591304737088078e-06,400
V121,18.675648061569696,1.5513554655179267e-05,401
TransactionDT,16.874953969913026,3.9964614032711415e-05,402
V159,16.31759597349153,5.361419731513999e-05,403
C6,15.801734174387093,7.039971773545866e-05,404
V26,15.153968318876018,9.917014971186338e-05,405
D5_isna,14.756197689295465,0.00012243902942468004,406
V212,14.125047997782225,0.00017117231062427652,407
V100,13.936379130951813,0.00018923380883527287,408
V309,12.917633666414334,0.0003256965347144948,409
V203,12.860441001631765,0.00033580133471231965,410
V165,11.611371131483995,0.0006558207195408526,411
V338,11.050337486561554,0.0008871086648902436,412
V9,10.629379282046052,0.0011135157648817675,413
V99,10.178108282637854,0.0014217273010692607,414
dist1,10.000540948312521,0.0015655268640569439,415
card1,9.9100635242346,0.0016443780738465887,416
V3,8.958695234832149,0.0027623634361975636,417
V166,7.073050225921622,0.00782675140667066,418
D4_isna,6.766164955101803,0.00929193566990646,419
V39_isna,6.702955444807025,0.009627065630844612,420
V40_isna,6.702955444807025,0.009627065630844612,421
V43_isna,6.702955444807025,0.009627065630844612,422
V44_isna,6.702955444807025,0.009627065630844612,423
V46_isna,6.702955444807025,0.009627065630844612,424
V47_isna,6.702955444807025,0.009627065630844612,425
V51_isna,6.702955444807025,0.009627065630844612,426
V52_isna,6.702955444807025,0.009627065630844612,427
V49_isna,6.702955444807025,0.009627065630844612,428
V48_isna,6.702955444807025,0.009627065630844612,429
V50_isna,6.702955444807025,0.009627065630844612,430
V42_isna,6.702955444807025,0.009627065630844612,431
V41_isna,6.702955444807025,0.009627065630844612,432
V36_isna,6.702955444807025,0.009627065630844612,433
V35_isna,6.702955444807025,0.009627065630844612,434
V38_isna,6.702955444807025,0.009627065630844612,435
V37_isna,6.702955444807025,0.009627065630844612,436
V45_isna,6.702955444807025,0.009627065630844612,437
TransactionAmt,5.572338731289128,0.018248759288249244,438
V285,5.066568485542468,0.024394326455211314,439
V307,4.180023389589873,0.040906402451147475,440
V129,3.99773746041627,0.045564761330499054,441
V317,3.7577329877908627,0.05256731258966481,442
V294,3.687913116580853,0.054811701830102096,443
C3,3.665331978935558,0.0555591378107209,444
V310,2.9214362345430964,0.08741390925819453,445
V320,2.331976692334344,0.12674479902116095,446
V96,2.2673755902923363,0.13212742138284697,447
card2,2.255838915323564,0.1331152492815837,448
V103,1.8970127511786927,0.16841692217975296,449
V332,1.8892760769033516,0.16928744582305869,450
V102,1.7764528184485173,0.18258929976004887,451
V28,1.706198697138058,0.1914830694215343,452
V27,1.6794840434826184,0.1949967640037246,453
V89,1.6553559268482183,0.19823524880889143,454
V150,1.6390863328488088,0.20045458520264398,455
V41,1.6324310726289946,0.20137083417866,456
V101,1.5835749452650247,0.2082501746785645,457
V132,1.512757554879856,0.21872240665647708,458
card2_isna,1.453612341421912,0.22795277111492399,459
V6,1.4289243186541256,0.2319436139794,460
V68,1.4180395592309374,0.23372988501321504,461
V97,1.3915240773970579,0.23815139597930274,462
V333,1.3898636112962157,0.23843164010921017,463
V14,1.342081934668456,0.2466706066287375,464
addr1,1.3223652985413215,0.25017143199670494,465
V105,1.3104085457635621,0.25232412410589217,466
V296,1.3010321366929014,0.2540281927192551,467
V164,1.29776224359577,0.2546257915735985,468
V293,1.2830919600591717,0.2573283232177603,469
V286,1.197196195939206,0.2738860838269024,470
V95,1.1948230677997815,0.2743621323078228,471
V308,1.1724271383622178,0.2789063532718523,472
V126,1.1191316984117756,0.2901086929188822,473
V104,1.0181193367461978,0.3129685753397382,474
V134,0.9765403608007212,0.32305741927417675,475
V133,0.9734483367666115,0.3238246607994193,476
card5_isna,0.8945081170128563,0.34426142432064266,477
V25,0.877850065158135,0.3487940344917223,478
V279,0.8574567884969366,0.35445416456485823,479
V127,0.8310838329157301,0.36196206155574584,480
V107,0.7978395913832048,0.37174276903829595,481
V2,0.7503661886181595,0.38636291594268635,482
V65,0.725289899892733,0.39441673814099576,483
V316,0.720600219183059,0.3959496370144543,484
V321,0.5779340257535658,0.44712549854313066,485
V331,0.523163597369364,0.46949740718961686,486
V297,0.4105181223847859,0.5217084792595443,487
card3_isna,0.34698287239899395,0.5558277052553191,488
V106,0.31775362948262087,0.5729623490387501,489
V306,0.3131389060116552,0.5757619510517551,490
V128,0.3088592529543534,0.578382592471897,491
V318,0.22284606865125423,0.6368811487912609,492
V298,0.2198034671922419,0.6391909848477046,493
V1,0.18128728575411035,0.6702704390283412,494
V319,0.13449379767092032,0.7138184421361913,495
V136,0.1109062743403538,0.739115577816909,496
V7,0.08564227011851161,0.7697927392635302,497
V8,0.07325327381064295,0.7866583035939072,498
