method,feature_scope,rank,feature,score
Chi-Square Score,"categorical one-hot, max chi2 per original feature",13,id_37,778.9288465464176
Chi-Square Score,"categorical one-hot, max chi2 per original feature",14,id_12,772.9100831403797
Chi-Square Score,"categorical one-hot, max chi2 per original feature",15,DeviceType,680.7440963394221
Chi-Square Score,"categorical one-hot, max chi2 per original feature",16,M6,654.7005223872575
Chi-Square Score,"categorical one-hot, max chi2 per original feature",17,card6,381.2412786427358
Chi-Square Score,"categorical one-hot, max chi2 per original feature",18,M1,252.0389991355696
Chi-Square Score,"categorical one-hot, max chi2 per original feature",19,M3,252.0389991355696
Chi-Square Score,"categorical one-hot, max chi2 per original feature",20,M2,252.0389991355696
Chi-Square Score,"categorical one-hot, max chi2 per original feature",21,M9,171.10750378668266
Chi-Square Score,"categorical one-hot, max chi2 per original feature",22,M7,139.72928167271087
Chi-Square Score,"categorical one-hot, max chi2 per original feature",23,M8,110.6702337798721
Chi-Square Score,"categorical one-hot, max chi2 per original feature",24,id_33,103.28414502526888
Chi-Square Score,"categorical one-hot, max chi2 per original feature",25,P_emaildomain,64.35744213254418
Chi-Square Score,"categorical one-hot, max chi2 per original feature",26,id_34,49.046402533504136
Chi-Square Score,"categorical one-hot, max chi2 per original feature",27,TransactionAmt_band,47.958665378493336
Chi-Square Score,"categorical one-hot, max chi2 per original feature",28,id_30,45.61410019859037
Chi-Square Score,"categorical one-hot, max chi2 per original feature",29,M5,30.40364602608287
Chi-Square Score,"categorical one-hot, max chi2 per original feature",30,id_23,24.848379901440175
Chi-Square Score,"categorical one-hot, max chi2 per original feature",31,id_33_class,22.51833071425158
Chi-Square Score,"categorical one-hot, max chi2 per original feature",32,card4,22.26737154693167
Chi-Square Score,"categorical one-hot, max chi2 per original feature",33,id_27,13.528382326510267
ReliefF Weight,mixed encoded (numeric + ordinal categories),1,M5,0.18566666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),2,M6,0.15416666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),3,M4,0.1458888888888892
ReliefF Weight,mixed encoded (numeric + ordinal categories),4,D2_isna,0.14233333333333334
ReliefF Weight,mixed encoded (numeric + ordinal categories),5,TransactionAmt_band,0.12022222222222223
ReliefF Weight,mixed encoded (numeric + ordinal categories),6,D3_isna,0.11366666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),7,M8,0.10366666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),8,TransactionDT,0.07898474106668113
ReliefF Weight,mixed encoded (numeric + ordinal categories),9,D5_isna,0.07866666666666666
ReliefF Weight,mixed encoded (numeric + ordinal categories),10,id_37,0.065
ReliefF Weight,mixed encoded (numeric + ordinal categories),11,V36,0.06466666666666666
ReliefF Weight,mixed encoded (numeric + ordinal categories),12,M9,0.063
ReliefF Weight,mixed encoded (numeric + ordinal categories),13,M7,0.062
ReliefF Weight,mixed encoded (numeric + ordinal categories),14,V35,0.0605
ReliefF Weight,mixed encoded (numeric + ordinal categories),15,id_18,0.0595461062235256
ReliefF Weight,mixed encoded (numeric + ordinal categories),16,card2,0.057312666666666616
ReliefF Weight,mixed encoded (numeric + ordinal categories),17,card6,0.055
ReliefF Weight,mixed encoded (numeric + ordinal categories),18,V90,0.05155555555555556
ReliefF Weight,mixed encoded (numeric + ordinal categories),19,V53,0.050666666666666665
ReliefF Weight,mixed encoded (numeric + ordinal categories),20,card5,0.0500024330900244
ReliefF Weight,mixed encoded (numeric + ordinal categories),21,D1,0.04842006269592469
ReliefF Weight,mixed encoded (numeric + ordinal categories),22,id_38,0.04833333333333333
ReliefF Weight,mixed encoded (numeric + ordinal categories),23,V29,0.04488888888888871
ReliefF Weight,mixed encoded (numeric + ordinal categories),24,dist1_isna,0.043
ReliefF Weight,mixed encoded (numeric + ordinal categories),25,V69,0.04083333333333333
ReliefF Weight,mixed encoded (numeric + ordinal categories),26,V12,0.040666666666666455
ReliefF Weight,mixed encoded (numeric + ordinal categories),27,V70,0.04006666666666704
ReliefF Weight,mixed encoded (numeric + ordinal categories),28,D2,0.04002403343782646
ReliefF Weight,mixed encoded (numeric + ordinal categories),29,M3,0.0395
ReliefF Weight,mixed encoded (numeric + ordinal categories),30,V91,0.03866666666666703
ReliefF Weight,mixed encoded (numeric + ordinal categories),31,card1,0.03823238139106404
ReliefF Weight,mixed encoded (numeric + ordinal categories),32,DeviceInfo,0.037380952380952404
ReliefF Weight,mixed encoded (numeric + ordinal categories),33,V75,0.03688888888888873
ReliefF Weight,mixed encoded (numeric + ordinal categories),34,V30,0.03493333333333364
ReliefF Weight,mixed encoded (numeric + ordinal categories),35,M2,0.034833333333333334
ReliefF Weight,mixed encoded (numeric + ordinal categories),36,V48,0.03399999999999988
ReliefF Weight,mixed encoded (numeric + ordinal categories),37,V13,0.032916666666666664
ReliefF Weight,mixed encoded (numeric + ordinal categories),38,D15,0.03291072229699415
ReliefF Weight,mixed encoded (numeric + ordinal categories),39,V76,0.031166666666666665
ReliefF Weight,mixed encoded (numeric + ordinal categories),40,V49,0.030400000000000246
ReliefF Weight,mixed encoded (numeric + ordinal categories),41,V54,0.029083333333333333
ReliefF Weight,mixed encoded (numeric + ordinal categories),42,DeviceType,0.028666666666666667
ReliefF Weight,mixed encoded (numeric + ordinal categories),43,V288,0.028416666666666666
ReliefF Weight,mixed encoded (numeric + ordinal categories),44,V61,0.028
ReliefF Weight,mixed encoded (numeric + ordinal categories),45,id_12,0.028
ReliefF Weight,mixed encoded (numeric + ordinal categories),46,D14,0.0273938872970392
ReliefF Weight,mixed encoded (numeric + ordinal categories),47,P_emaildomain,0.02731746031746029
ReliefF Weight,mixed encoded (numeric + ordinal categories),48,id_30,0.02566666666666668
ReliefF Weight,mixed encoded (numeric + ordinal categories),49,id_15,0.025
ReliefF Weight,mixed encoded (numeric + ordinal categories),50,card4,0.02466666666666665
