method,feature_scope,rank,feature,score
Mutual Information,"numeric + one-hot categorical, max MI per original feature",14,V171,0.02715927078248037
Mutual Information,"numeric + one-hot categorical, max MI per original feature",15,V244,0.02712933340400836
Mutual Information,"numeric + one-hot categorical, max MI per original feature",16,V259,0.02696831030900282
Mutual Information,"numeric + one-hot categorical, max MI per original feature",17,V178,0.026812459345545436
Mutual Information,"numeric + one-hot categorical, max MI per original feature",18,V233,0.026622357449011647
Mutual Information,"numeric + one-hot categorical, max MI per original feature",19,V219,0.026247947438601482
Mutual Information,"numeric + one-hot categorical, max MI per original feature",20,V245,0.02603908349165973
Mutual Information,"numeric + one-hot categorical, max MI per original feature",21,V179,0.026018132262881855
Mutual Information,"numeric + one-hot categorical, max MI per original feature",22,V274,0.02591010006422234
Mutual Information,"numeric + one-hot categorical, max MI per original feature",23,V232,0.025887429110683646
Mutual Information,"numeric + one-hot categorical, max MI per original feature",24,V218,0.025851798072749954
Mutual Information,"numeric + one-hot categorical, max MI per original feature",25,V168,0.02573047159194153
Mutual Information,"numeric + one-hot categorical, max MI per original feature",26,V229,0.025452239713032565
Mutual Information,"numeric + one-hot categorical, max MI per original feature",27,D8,0.02517389666086567
Mutual Information,"numeric + one-hot categorical, max MI per original feature",28,V177,0.02509687435759589
Mutual Information,"numeric + one-hot categorical, max MI per original feature",29,V265,0.024933831378481486
Mutual Information,"numeric + one-hot categorical, max MI per original feature",30,V230,0.024772911599612035
Mutual Information,"numeric + one-hot categorical, max MI per original feature",31,V193,0.024619734327924414
Mutual Information,"numeric + one-hot categorical, max MI per original feature",32,V231,0.024442201046539713
Mutual Information,"numeric + one-hot categorical, max MI per original feature",33,V167,0.024422003756482402
Mutual Information,"numeric + one-hot categorical, max MI per original feature",34,V222,0.02437111087353694
Mutual Information,"numeric + one-hot categorical, max MI per original feature",35,V170,0.02430062575890135
Mutual Information,"numeric + one-hot categorical, max MI per original feature",36,V87,0.02396218401161554
Mutual Information,"numeric + one-hot categorical, max MI per original feature",37,V217,0.023939016410238656
Mutual Information,"numeric + one-hot categorical, max MI per original feature",38,V221,0.023805371859340507
Mutual Information,"numeric + one-hot categorical, max MI per original feature",39,V192,0.02367922087375174
Mutual Information,"numeric + one-hot categorical, max MI per original feature",40,V194,0.023581444777687643
Mutual Information,"numeric + one-hot categorical, max MI per original feature",41,V261,0.0233589314953615
Mutual Information,"numeric + one-hot categorical, max MI per original feature",42,V228,0.023207614853108405
Mutual Information,"numeric + one-hot categorical, max MI per original feature",43,V263,0.023068236710896528
Mutual Information,"numeric + one-hot categorical, max MI per original feature",44,V176,0.02296465976105644
Mutual Information,"numeric + one-hot categorical, max MI per original feature",45,V198,0.02261938510675532
Mutual Information,"numeric + one-hot categorical, max MI per original feature",46,V247,0.02260304385808043
Mutual Information,"numeric + one-hot categorical, max MI per original feature",47,V252,0.02257034291023219
Mutual Information,"numeric + one-hot categorical, max MI per original feature",48,id_13,0.022517868808911823
Mutual Information,"numeric + one-hot categorical, max MI per original feature",49,V248,0.022516517582713114
Mutual Information,"numeric + one-hot categorical, max MI per original feature",50,V275,0.02250503022726802
Mutual Information,"numeric + one-hot categorical, max MI per original feature",51,V255,0.022498564626841633
Mutual Information,"numeric + one-hot categorical, max MI per original feature",52,V208,0.02234844201562458
Mutual Information,"numeric + one-hot categorical, max MI per original feature",53,V251,0.02216341032616853
Mutual Information,"numeric + one-hot categorical, max MI per original feature",54,V262,0.022065833917692235
Mutual Information,"numeric + one-hot categorical, max MI per original feature",55,V253,0.022006222431255162
Mutual Information,"numeric + one-hot categorical, max MI per original feature",56,V210,0.021952013592772435
Mutual Information,"numeric + one-hot categorical, max MI per original feature",57,V195,0.021941238151895748
Mutual Information,"numeric + one-hot categorical, max MI per original feature",58,V206,0.02185594661201473
Mutual Information,"numeric + one-hot categorical, max MI per original feature",59,V86,0.021852183628940036
Mutual Information,"numeric + one-hot categorical, max MI per original feature",60,D12,0.02181717530430971
Mutual Information,"numeric + one-hot categorical, max MI per original feature",61,V209,0.021795593159567916
Mutual Information,"numeric + one-hot categorical, max MI per original feature",62,V239,0.021711035664968348
Mutual Information,"numeric + one-hot categorical, max MI per original feature",63,V197,0.021660939461007667
Mutual Information,"numeric + one-hot categorical, max MI per original feature",64,V214,0.021612366865345845
Mutual Information,"numeric + one-hot categorical, max MI per original feature",65,V249,0.021578236036966958
Mutual Information,"numeric + one-hot categorical, max MI per original feature",66,V191,0.02157669304187393
Mutual Information,"numeric + one-hot categorical, max MI per original feature",67,V273,0.021567990283258176
Mutual Information,"numeric + one-hot categorical, max MI per original feature",68,id_11,0.021555081493814576
Mutual Information,"numeric + one-hot categorical, max MI per original feature",69,V256,0.021552177790454374
Mutual Information,"numeric + one-hot categorical, max MI per original feature",70,V276,0.021546378492121043
Mutual Information,"numeric + one-hot categorical, max MI per original feature",71,V220,0.02153250479879598
Mutual Information,"numeric + one-hot categorical, max MI per original feature",72,V45,0.021469280343377806
Mutual Information,"numeric + one-hot categorical, max MI per original feature",73,D14,0.021381348743499062
Mutual Information,"numeric + one-hot categorical, max MI per original feature",74,V227,0.02136997864329171
Mutual Information,"numeric + one-hot categorical, max MI per original feature",75,V270,0.021355269493793294
Mutual Information,"numeric + one-hot categorical, max MI per original feature",76,V238,0.02130092154690777
Mutual Information,"numeric + one-hot categorical, max MI per original feature",77,id_01,0.021182383347428058
Mutual Information,"numeric + one-hot categorical, max MI per original feature",78,V205,0.021058495168144953
Mutual Information,"numeric + one-hot categorical, max MI per original feature",79,V264,0.021057109937759888
Mutual Information,"numeric + one-hot categorical, max MI per original feature",80,D6,0.02104311288640437
Mutual Information,"numeric + one-hot categorical, max MI per original feature",81,V250,0.020950791587950546
Mutual Information,"numeric + one-hot categorical, max MI per original feature",82,V174,0.020897628760607523
Mutual Information,"numeric + one-hot categorical, max MI per original feature",83,V182,0.020892210097988917
Mutual Information,"numeric + one-hot categorical, max MI per original feature",84,V234,0.020827564156728817
Mutual Information,"numeric + one-hot categorical, max MI per original feature",85,V260,0.020800236488334622
Mutual Information,"numeric + one-hot categorical, max MI per original feature",86,V278,0.020787063031023845
Mutual Information,"numeric + one-hot categorical, max MI per original feature",87,id_19,0.02070743812021192
Mutual Information,"numeric + one-hot categorical, max MI per original feature",88,V180,0.020646474215846755
Mutual Information,"numeric + one-hot categorical, max MI per original feature",89,V271,0.020574710307593724
Mutual Information,"numeric + one-hot categorical, max MI per original feature",90,V77,0.020550394874960576
Mutual Information,"numeric + one-hot categorical, max MI per original feature",91,V272,0.020486663739066602
Mutual Information,"numeric + one-hot categorical, max MI per original feature",92,V181,0.02036327022758133
Mutual Information,"numeric + one-hot categorical, max MI per original feature",93,V268,0.02030066329266389
Mutual Information,"numeric + one-hot categorical, max MI per original feature",94,V196,0.020258608764235575
Mutual Information,"numeric + one-hot categorical, max MI per original feature",95,id_35,0.02024939943309101
Mutual Information,"numeric + one-hot categorical, max MI per original feature",96,card1,0.0201706278004552
Mutual Information,"numeric + one-hot categorical, max MI per original feature",97,V254,0.020075559454937997
Mutual Information,"numeric + one-hot categorical, max MI per original feature",98,V184,0.020068224580837235
Mutual Information,"numeric + one-hot categorical, max MI per original feature",99,id_36,0.020019316905914186
Mutual Information,"numeric + one-hot categorical, max MI per original feature",100,V236,0.01998648975300399
