"","PLT","LAT","LON","YEAR","IndividualNumber","treeDensity","diameterMean","SpeciesNumber","ShannonIndex","SimpsonIndex","InvSimpsonIndex","BasalArea","WeightedWoodDensity","WoodDensitySD","MinWD","MaxWD","GymnoWD","AngioWD","FiveQuantile","NintyfiveQuantile","angiospermRatio","gymnospermRatio","nonDefinedAG","dataset","genus","species","Lambda","LambdaP_Val","BlombergsK","BlombergsP_Val","PhyloSpeciesNm"
"3115","PLT_00003115",-27.6307,-49.9505,2008,26,260,28.0773804984615,15,2.55789358553178,0.911242603550296,11.2666666666667,18325.2354285625,0.584387771952123,0.1223157787023,0.477685516989796,0.98,NA,0.567599859918206,0.477685516989796,0.74402883094332,1,0,0,0,0.423076923076923,0.576923076923077,NA,NA,NA,NA,4
"3116","PLT_00003116",-27.6307,-49.9505,2008,12,120,22.6742742266667,1,0,0,1,5092.72740462983,0.591483636363636,0,0.591483636363636,0.591483636363636,NA,0.591483636363636,0.591483636363636,0.591483636363636,1,0,0,0,0,1,NA,NA,NA,NA,1
"3117","PLT_00003117",-27.6308,-50.22,2008,13,130,16.6133275207692,4,1.03176711135054,0.556213017751479,2.25333333333333,3037.2134619312,0.544650754521111,0.0564350826742036,0.441649350649351,0.591483636363636,0.441649350649351,0.585444286617863,0.463271050453618,0.591483636363636,0.9,0.1,0,0,0.0769230769230769,0.923076923076923,NA,NA,NA,NA,2
"3118","PLT_00003118",-27.6308,-50.22,2008,11,110,23.2366216918182,6,1.67262544615032,0.793388429752066,4.84,5974.43783122739,0.476469538223132,0.0795780205346733,0.4242536617,0.622161904761905,NA,0.466035448715895,0.434041389273077,0.617413592037203,1,0,0,0,0.363636363636364,0.636363636363636,NA,NA,NA,NA,4
"3119","PLT_00003119",-27.6308,-50.22,2008,5,50,28.265917894,3,1.05492016798614,0.64,2.77777777777778,3356.77669368306,0.563998551388698,0.0259483899572122,0.54,0.591483636363636,NA,0.563998551388698,0.54,0.591483636363636,1,0,0,0,0.6,0.4,NA,NA,NA,NA,1
"3120","PLT_00003120",-27.6311,-49.3204,2009,57,570,16.3845825615789,25,2.85022952976459,0.920283164050477,12.5444015444015,13641.0110160867,0.622583801219493,0.1416583514025,0.396725743571429,0.91,NA,0.614360354097949,0.4242536617,0.91,1,0,0,0,0.192982456140351,0.807017543859649,6.95722636460291e-05,1,0.403490606913261,0.417,9
"3121","PLT_00003121",-27.6311,-49.3204,2009,82,820,14.2695992870732,29,3.06486809350418,0.940511600237954,16.81,14025.5293585917,0.588869491818566,0.118734181753786,0.35758695330303,0.91,NA,0.568893923951025,0.377626735833333,0.77975,1,0,0,0.0120481927710843,0.27710843373494,0.710843373493976,5.49933302740129e-05,1,0.622450037372526,0.66,11
"3122","PLT_00003122",-27.6311,-49.3204,2009,54,540,14.1824738172222,22,2.84611832296025,0.930041152263374,14.2941176470588,9053.05147223181,0.6188151718268,0.128766162094982,0.336619571351852,1,NA,0.592911856815498,0.486,0.91,1,0,0,0,0.537037037037037,0.462962962962963,0.374141098713537,0.637465439610215,0.378996971620036,0.345,7
"3123","PLT_00003123",-27.6311,-49.3204,2009,60,600,13.8146490607,21,2.72064392960475,0.912222222222222,11.3924050632911,9646.58004478236,0.560719139661604,0.0875237239935703,0.377626735833333,0.824221329833333,NA,0.540594673936702,0.486,0.704834289206493,1,0,0,0,0.433333333333333,0.566666666666667,4.2954994714851e-05,1,0.93564739784588,0.746000000000001,6
"3124","PLT_00003124",-27.632,-50.5787,2008,50,500,18.6618720076,16,2.38304320530937,0.876,8.06451612903226,16236.4063799446,0.523027934893851,0.125246893814315,0.377626735833333,0.98,NA,0.536349639466388,0.434451141807692,0.74095,1,0,0,0.137931034482759,0.155172413793103,0.706896551724138,4.89319136834187e-05,1,0.495810292483396,0.923000000000001,7
"3125","PLT_00003125",-27.632,-50.5787,2008,122,1220,16.2606778986885,23,2.50011901703678,0.883767804353668,8.60346820809249,28723.4063892359,0.529458438584196,0.104610020686151,0.336619571351852,0.98,NA,0.536034433884809,0.435666846153846,0.736869284915684,1,0,0,0.0161290322580645,0.201612903225806,0.782258064516129,6.7513011022212e-05,1,0.485740825835501,0.203,11
"3126","PLT_00003126",-27.632,-50.5787,2008,121,1210,16.0101980766116,18,2.2952175524872,0.851034765384878,6.71297569922054,26779.0478506394,0.521992855479786,0.0799497544428255,0.4242536617,0.74095,NA,0.518362627617276,0.435666846153846,0.74095,1,0,0,0.00819672131147541,0.0983606557377049,0.89344262295082,4.66947158028912e-05,1,0.527679212685605,0.67,10
"3127","PLT_00003127",-27.632,-50.5787,2008,75,750,20.9863830029333,19,2.43895643804473,0.876088888888889,8.0703012912482,31231.4981038091,0.540856599155144,0.0717754748828481,0.377626735833333,0.73968578412987,NA,0.539300699899669,0.467913387179487,0.676922498393846,1,0,0,0.0131578947368421,0.105263157894737,0.881578947368421,6.89440298908115e-05,1,0.556373701408725,0.279,8
