gene,log2FC,FDR,direction
ALPL,1.2875046312240963,2.164901554215877e-07,up
C3,1.2866492632373205,5.458934346675875e-05,up
STC1,1.2822933360343534,6.34039406699556e-05,up
TGM2,1.27737014988689,1.1414018215035061e-07,up
FPR1,1.272287194369448,5.096298846376785e-06,up
SLAMF7,1.2688136136960901,4.879909047228434e-06,up
SAMD9L,1.2649051572896415,8.305917642177393e-11,up
NFKBIZ,1.2647467087642656,3.2139700460998197e-15,up
EGR1,1.2641287706553914,2.1887531066279965e-07,up
COL4A1,1.2585447088800228,1.88510241035664e-08,up
NR4A2,1.2562365322066613,1.8714500841105047e-06,up
IL13RA2,1.2500669976448187,0.00015843231273273182,up
ADGRE2,1.2482115275169097,2.43830029581678e-07,up
C1R,1.2464869236469394,2.601527777977908e-08,up
IFITM3,1.2431752071691315,4.79144528740094e-19,up
OAS2,1.2413802935089864,5.74270917384077e-10,up
ADGRG6,1.2365799643911242,1.2696316743293132e-07,up
HCAR2,1.232420368856241,0.00022815427999071475,up
ANXA5,1.2282705602029598,8.250460468402989e-13,up
HGF,1.2279753698805491,1.5679238571611612e-06,up
PLA2G7,1.2268579759973548,0.00012108862678323187,up
KDR,1.226271264523783,8.444759967636977e-09,up
LUM,1.2258761821749484,8.472295725368352e-06,up
PGC,1.2235022039719858,0.012024944718446761,up
C1S,1.2227398547193502,3.0795716447945937e-06,up
SRGN,1.2224151177737772,2.3386917843456267e-06,up
COL15A1,1.2208465883091986,1.1848728024830397e-08,up
SERPING1,1.2179312435792804,4.3207872855720716e-07,up
CYR61,1.2097294730195554,6.162187779238055e-06,up
SPARCL1,1.2080814523303394,1.8624682316936251e-06,up
PXDN,1.2078232081390077,2.6721756296379303e-07,up
CDH11,1.2070460369566662,5.9388056884021804e-09,up
CCL4,1.2066781260147996,2.845786675525504e-05,up
CCL4L2,1.2066781260147996,2.845786675525504e-05,up
CCL4L1,1.2066781260147996,2.845786675525504e-05,up
GNA15,1.2028144510808705,1.5029841728554676e-08,up
SLFN11,1.2023823561606735,2.0274373040083524e-07,up
FOS,1.2000676266791714,3.5086736464129865e-06,up
MMP9,1.199678878223044,0.00046720671888622926,up
ITGAX,1.1937973517182856,3.0212157197684833e-06,up
HEG1,1.1933370915243122,6.177143066424871e-09,up
SERPINB9,1.1881033037700863,4.164355251067398e-06,up
MGP,1.18805332381924,4.914061508607397e-05,up
SPARC,1.187483908498935,2.9173042436703376e-07,up
FLT1,1.1857228595417517,2.369860905244211e-09,up
GJA1,1.1838438075206161,1.304296072846012e-06,up
PLS3,1.18213241011152,2.7474194616906957e-16,up
MIR21,1.1812210756390034,2.6648797548672915e-09,up
CXCL5,1.1781023717716703,4.204687619323913e-05,up
TGFBI,1.1762418979809741,1.9770121439452093e-07,up
STRIP2,1.1744637188964075,5.0210987003998675e-08,up
PIK3R3,1.1733092558789648,9.716117402579869e-15,up
SLC7A5,1.170056763978331,3.389640130460169e-09,up
SERPINB4,1.1699362040750536,0.009328810093863327,up
FFAR4,1.1688303687320278,0.0003226427936347613,up
MNDA,1.1672034556194486,1.7714759302335068e-05,up
OLFM4,1.1645834583557217,4.3085562303295253e-05,up
COL3A1,1.1610639730502061,2.5291277481779056e-06,up
HK2,1.160319872683928,5.7646973394514226e-05,up
IL1R1,1.1602207420285326,9.554920115843082e-07,up
CD93,1.1599532280005294,7.874515177682163e-08,up
S100A11,1.158800593397995,4.831355835673218e-17,up
ARNTL2,1.1570192517605733,3.1627468991315396e-11,up
THY1,1.1546795737943967,2.0093626564869735e-06,up
CASP5,1.153047206728326,1.0518274869364789e-05,up
LPCAT1,1.1529122876765223,2.4303491580367236e-13,up
FCGR2B,1.146983348511096,7.954694653664502e-05,up
FCGR2C,1.146983348511096,7.954694653664502e-05,up
VSNL1,1.1465655273958797,0.001485011666148296,up
TRIM22,1.1444850370454551,9.724289264142562e-11,up
HIF1A,1.143005762845668,1.2274625735228995e-11,up
CDC25B,1.1422003873387911,6.836656549804374e-15,up
MYOF,1.1414078517600448,9.31762379713953e-08,up
NMUR2,1.1404294566839335,0.001446967783664144,up
POSTN,1.1397758254698775,0.007473369800610898,up
ACPP,1.1383681627552837,4.677070878649146e-07,up
KCNJ15,1.1369804529164922,2.4814896748294284e-05,up
PITPNC1,1.135816540762681,8.18636621533417e-09,up
HLA-DPA1,1.1348679967404856,3.596246241254815e-08,up
NID1,1.1269303320787492,5.593917508527495e-08,up
TM4SF1,1.126627861387421,0.0002190964564657235,up
RBPMS,1.1264826467346678,3.733578692913441e-11,up
IFI16,1.1251235447399575,4.0471476233192105e-09,up
CYYR1,1.1234682101992632,1.5416657376183774e-08,up
ADGRF5,1.1229063379133217,1.2484867504376936e-07,up
FBN1,1.1171783802293866,4.829471553250189e-06,up
IFITM2,1.1171214225332955,3.970023792960161e-11,up
MZB1,1.1163999572034928,5.852805399359636e-06,up
GPX8,1.115809279582983,6.488220479539648e-10,up
AREG,1.1154056954149025,0.00037081881693913524,up
LAMC1,1.115185985145346,4.262742317880375e-09,up
TFPI2,1.113258707599365,0.00023595482248996497,up
SOD2,1.11188063789165,3.3374085053813335e-07,up
HLA-DPB1,1.1095404595824565,1.236637678000914e-07,up
CDH5,1.1029472686236748,9.553481056729918e-09,up
PTPN13,1.1022567997854127,1.0177484496960912e-09,up
TRIM29,1.0956774080454492,1.9732473530663005e-05,up
F2RL2,1.095327286327171,1.392493003269734e-06,up
SELL,1.0952358610111013,0.0017860303657399577,up
FADS2,1.0927500422716685,5.170350916332666e-05,up
TM4SF18,1.0917446573932335,4.133014035135059e-09,up
STAT1,1.0915096578261192,1.8360208899496696e-11,up
ADAMTS1,1.0908624019836148,8.785010032272433e-08,up
NNMT,1.087889770967232,1.2896522447096846e-07,up
LAX1,1.0862618201342507,4.631102592252785e-05,up
ENG,1.0841324132917514,2.681210825035358e-08,up
CARD6,1.0822005596659636,2.264856132938177e-09,up
PROK2,1.081443654105712,5.383390084269429e-05,up
PCSK1,1.0789374547891137,1.5789516633534938e-05,up
FADS1,1.0789210479857267,6.392515447131811e-07,up
RGS1,1.0781783109223086,1.9448138206149993e-05,up
STX11,1.07737611620243,6.067650123655339e-06,up
FBXO16,1.0754390307785409,2.1250667216268395e-11,up
FN1,1.0717251126152254,0.0004998744942282767,up
DYSF,1.0691577102806562,8.535279753170397e-07,up
ME1,1.0668666827600397,5.2928013608168305e-06,up
STXBP1,1.0620086270068656,3.7097035894027157e-14,up
LOXL2,1.0601885104122628,1.4423375850940488e-06,up
CFH,1.0581227114059173,4.291026060524673e-05,up
MCTP1,1.05759231174894,7.284015165937195e-07,up
NUCB2,1.056946421974632,2.6629482840386303e-11,up
IFITM1,1.0567101552759048,3.8718229220039115e-12,up
FAP,1.0565890440274819,0.00018205517271439861,up
LOC101060256,1.0533194277552838,0.003161923137950614,up
LAMP3,1.0517438131976737,4.754719370509672e-06,up
ARHGAP29,1.0514451453985219,1.6431255025942635e-07,up
SLFN5,1.0499215417346708,2.6794912048427346e-10,up
LY96,1.046293689675478,0.0002596284933376935,up
IL33,1.0445539634228318,5.780060352508244e-06,up
PARP8,1.0425618082536996,1.436872857100695e-15,up
RIPK2,1.0415667708276937,5.432259949324959e-09,up
FFAR2,1.0383489733921794,0.00014053415179677404,up
IGSF6,1.0373897745132128,0.0003747687518282389,up
FCRL5,1.0346975418102504,0.0002684306153871204,up
CEACAM6,1.0337252338319267,0.0007364795763661156,up
SRPX2,1.0301643023520128,2.9396375834860972e-08,up
MTHFD2,1.02525958585254,2.7826285833408772e-11,up
ZG16B,1.0237234364048664,3.2133046346310766e-07,up
LAMA4,1.0230180097896389,2.1196089976657806e-07,up
FCER1G,1.0228778455681802,0.00015541748822700514,up
MSN,1.022300935273785,2.2828865055754355e-06,up
SETD7,1.0175205390544475,8.698934000437255e-13,up
HLA-DQB2,1.0168144238361485,2.542871062835017e-06,up
ENTPD1,1.015517564470926,8.278067919378009e-06,up
BIRC3,1.013547195025371,6.502526508160658e-05,up
PRRX1,1.011803250695558,0.000349247542328269,up
MCAM,1.0086874346723054,4.0926970082365207e-07,up
LYZ,1.0086158770687117,1.2008290410080737e-08,up
IGFBP7,1.0074350803810823,1.834851530347789e-07,up
ASPHD2,1.0054074293731539,4.462965147222407e-10,up
RHOJ,1.0051233005332953,4.2794796774000944e-07,up
CD34,1.0009750100211408,9.468605394175293e-08,up
RAPGEFL1,-1.00143547463108,4.04029363555513e-08,down
