gene,log2FC,AveExpr,t_mod,pval,FDR,direction,DEG
WFDC5,0.0042393568699807815,6.087824280469072,0.08327272506339518,0.933720973756716,0.9533715764398863,up,False
WFDC6,-0.05779606936257675,5.433239160479381,-1.3843924768805627,0.16783651346844744,0.2574460098846993,down,False
WFDC8,-0.03744840408509287,4.361650312242268,-0.9811271464264721,0.32775806263896223,0.4364672387044165,down,False
WFDC9,-0.06020290201532852,4.355058481793814,-1.4816682306098266,0.1400590714892639,0.22237624332032913,down,False
WFIKKN1,-0.1060962054238912,7.133259241798969,-2.79783702300024,0.005666036127297077,0.01597343949805169,down,False
WFIKKN2,-0.0019053581432357802,6.742023101989689,-0.03895322235679538,0.9689679383016256,0.9782298424219198,down,False
WFS1,0.2908115210200837,7.353847950288659,4.262325954419305,3.1616443096781214e-05,0.0001982190697206144,up,False
WHAMM,-0.17642410487525773,7.696590824742269,-3.4584730154484835,0.0006683591722142897,0.0026207660698712373,down,False
WHAMMP1,-0.00854699417811755,6.705202788175257,-0.1703461036800705,0.8649163554120761,0.9033181631716304,down,False
WHAMMP2,-0.00854699417811755,6.705202788175257,-0.1703461036800705,0.8649163554120761,0.9033181631716304,down,False
WHAMMP3,-0.00854699417811755,6.705202788175257,-0.1703461036800705,0.8649163554120761,0.9033181631716304,down,False
WHRN,-0.13410106503435593,7.070379743010309,-2.5068179150691603,0.013007683645318124,0.032074800145469026,down,False
WHSC1,-0.02545374552008184,7.363716467340208,-0.5178784471912481,0.6051360747245811,0.6959706625442278,down,False
WHSC1L1,-0.031820183093028476,8.772219846778352,-0.8276134480050948,0.4089113797033377,0.5161476088161835,down,False
WIF1,-0.10938607790644461,5.0094696491391755,-1.4993031931616887,0.135428590765627,0.21671648951348574,down,False
WIPF1,0.6584812318282225,9.11650688530928,4.100660480359424,6.0672065958156896e-05,0.0003432402832576629,up,False
WIPF2,-0.40022363956659124,7.9136517365,-6.2195043678064295,3.0254347065757825e-09,8.057791906795727e-08,down,False
WIPF3,-0.2949121720930261,6.43782807128866,-4.104883152569287,5.966212321606192e-05,0.00033878922875563486,down,False
WIPI1,0.33091826893815934,9.681471313025773,3.358073326141376,0.0009454986368003307,0.0035096471252267147,up,False
WIPI2,0.004964934751056305,7.304656726958763,0.1609774481948239,0.8722795037289268,0.9088149417538994,up,False
WISP1,0.7048713841485208,7.234542480479383,4.868025955594773,2.338249266343179e-06,2.166825470436424e-05,up,False
WISP2,-0.08850881089429397,7.188113631298969,-2.0178824956550963,0.044987846657890365,0.08880509217368669,down,False
WISP3,0.009012978088263957,5.1010631563350515,0.13990923378212244,0.8888775726299395,0.9214333080215782,up,False
WIZ,0.0013634142542313654,7.090782372448455,0.04080617187755024,0.9674925918494395,0.9772387875325366,up,False
WLS,0.19779759916965922,8.899108491639176,1.6731348096579977,0.0959204838273646,0.16387384646124406,up,False
WNK1,0.1373906583742066,9.191900785025773,2.670311506144001,0.008224309607172083,0.021816291427856,up,False
WNK2,-0.2952769678979825,7.629268516716494,-2.721506157516505,0.007092868141082248,0.019281769196486217,down,False
WNK3,0.14143781170930314,4.338667067237114,3.4590480278979174,0.0006670177201505284,0.0026169617306165535,up,False
WNK4,-0.17855748617494527,7.61159208814433,-1.3556502622499995,0.17679433181200208,0.2680049989124306,down,False
WNT1,-0.09709520757399925,7.26255268397938,-2.248578939715234,0.025669505476856706,0.05619389568520587,down,False
WNT10A,0.07114418939217959,7.23715880598969,1.7144006749220524,0.08806010807591842,0.1529659196222644,up,False
WNT10B,0.00020564269926026668,6.989013306711342,0.004670951072893777,0.9962779572407696,0.997315501148902,up,False
WNT11,-0.19034852904017008,6.9794171853969065,-2.071900206808216,0.039603905305609914,0.08004432624464618,down,False
WNT16,-0.042125838370510316,5.787762683876288,-1.070080014174526,0.28591943445406093,0.39211013491569563,down,False
WNT2,0.2546546520380568,5.578375511072165,2.1050533151296897,0.036580348234659624,0.07497234193819995,up,False
WNT2B,0.13314608337368128,7.268051801309278,1.844860402901413,0.06658993352610694,0.12233318775750009,up,False
WNT3,-0.16424198231976916,6.850491174618557,-1.825888623533061,0.06941202546027843,0.1262780542333541,down,False
WNT3A,-0.06132798992864075,6.500981624896908,-1.4589660946936023,0.1461996608199873,0.2301216395504482,down,False
WNT4,0.2242304146210392,7.753996954226804,3.6307742188872627,0.0003619387861460296,0.0015668207800675718,up,False
WNT5A,1.5771110129408,7.214776092752577,6.646642810526741,2.990399566423661e-10,1.1732463753462181e-08,up,True
WNT5B,0.07085073827747923,6.208202298154639,1.9094155575484864,0.05769143050180282,0.1090162345475493,up,False
WNT6,0.05542328531923957,7.4182270247164945,1.130912867480918,0.25949481498639293,0.3631725249845964,up,False
WNT7A,-0.04577883066014632,6.881727784989689,-0.9975719034557281,0.31973579054897083,0.4279942247587724,down,False
WNT7B,0.07143052681078732,6.39505162565464,1.7746822476014996,0.07752637222091094,0.13801247523828636,up,False
WNT8A,-0.14524590777008317,5.637372318783505,-3.1713629902734084,0.001765117683308863,0.005958011755615725,down,False
WNT8B,-0.07498240646089016,5.313884310216494,-2.038290252874223,0.042884823312031396,0.08536998574597834,down,False
WNT9A,-0.008935039061843675,7.491634535881444,-0.23141682113758583,0.8172361065223602,0.8683595590708648,down,False
WNT9B,-0.11693908827061161,7.271143814814433,-2.6021462214698254,0.009982864393316476,0.025675946646249514,down,False
WRAP53,0.10187935459143471,7.025964085902062,3.3342719647667316,0.0010253644120287405,0.003750152407674123,up,False
WRAP73,-0.04736636598572819,6.695569973443298,-1.1013308386054954,0.2721240062640204,0.3773017545545003,down,False
WRB,-0.25961723628223865,8.12097676996907,-3.362163963888619,0.0009323715819464498,0.0034688356515520007,down,False
WRN,0.061819587929173636,7.087380644649484,0.9468858117850604,0.3448807361092292,0.4540085238111224,up,False
WRNIP1,-0.06452735161152212,8.041131285561857,-1.5261653460281213,0.1286054185555736,0.20799803962094113,down,False
WSB1,0.1758195661664903,9.593905602757733,1.866443993089519,0.06349580449205071,0.11758873610591089,up,False
WSB2,-0.27947245409830934,10.46366443070103,-4.591084501212179,7.935006397883033e-06,6.101875647128454e-05,down,False
WSCD1,-0.9351622783388001,7.042101078876289,-8.902903596585316,3.989185300197095e-16,1.8338978596362603e-13,down,False
WSCD2,-0.06767703075581633,5.910645597572164,-1.7551722133778664,0.08081615087880194,0.14269175441546503,down,False
WT1,0.0245581440639544,6.638008168391754,0.6066165289766295,0.5448181666547229,0.6430356516295934,up,False
WT1-AS,-0.05118474468287104,5.536264121036081,-1.0757807037626035,0.2833680202698943,0.38953204113665924,down,False
WTAP,0.16082322543657668,10.693001989350517,2.5661553593308644,0.011041521558036345,0.02789034315588842,up,False
WTH3DI,-0.25614646827643206,9.864069204226803,-4.171393275215003,4.57233122628359e-05,0.0002703829533789821,down,False
WTIP,0.07961153250422282,7.386103735752577,1.9293277643986284,0.05515641436856261,0.10510883073371123,up,False
WWC1,-0.21417132205338163,8.161370618412372,-2.4241730771543573,0.016264933015714383,0.0387598082582051,down,False
WWC2,0.48993611616754773,6.330109190871134,4.662940944467757,5.807813412923392e-06,4.687703444392785e-05,up,False
WWC2-AS2,-0.035410181746300395,5.287656974283505,-0.9539968806113585,0.3412782802036588,0.4501348338718127,down,False
WWC3,-0.11359022623150317,7.691246139175258,-1.698955299216228,0.09093857354912686,0.15703723786080237,down,False
WWOX,0.04484566769820297,7.003936879288661,1.4608553653792242,0.14568084960115937,0.22939038916721646,up,False
WWP1,0.014951727179175478,9.237909580443299,0.3037395839329513,0.761653426948766,0.8239556486436237,up,False
WWP2,-0.08995207872410305,8.73636989833505,-1.962676724445796,0.05112053738388767,0.09861758840148446,down,False
WWTR1,0.7282178562172277,7.69775598843299,5.360108253968827,2.357573981269331e-07,3.141500755003311e-06,up,False
XAB2,0.012131730122622031,8.216977016185567,0.29078748654145337,0.7715260286672715,0.8319545626549788,up,False
XAF1,0.7622305321707241,8.703245696304123,5.230081148742067,4.387516331163713e-07,5.2928013608168305e-06,up,False
XAGE-4,-0.21681598911099353,5.673339969824742,-2.9303917279560383,0.0037936655772193247,0.011423362781933854,down,False
XAGE1B,-0.1006972179001071,5.742649843278351,-2.4251809494587846,0.01622121089988168,0.03867304925589604,down,False
XAGE1E,-0.1006972179001071,5.742649843278351,-2.4251809494587846,0.01622121089988168,0.03867304925589604,down,False
XAGE2,-0.13636091788794946,5.335533525675257,-3.366809384241987,0.0009176706300801403,0.0034237792544644895,down,False
XAGE3,-0.07682825871141397,6.20450999764433,-1.6553407211261117,0.09948018698729091,0.1688467440781969,down,False
XAGE5,0.005961818008453079,4.401069253917526,0.11323325335805663,0.909963303068748,0.9363531687020005,up,False
XBP1,0.9667758336765342,11.222113056876287,9.04795274810684,1.5746212788324363e-16,7.928218138921316e-14,up,False
XCL1,-0.30000703275211293,6.150941017742268,-2.604119124301276,0.009927558122001199,0.02555545606889341,down,False
XCL2,-0.23040620932452338,4.825457087422681,-3.1676540926328585,0.00178664840766401,0.006014367060947282,down,False
XCR1,0.1764648846400636,6.9998776006494845,2.1076256426471898,0.03635426697818235,0.07456679765156374,up,False
XDH,0.41934577476533086,9.594991780685566,1.9818509961456603,0.04891499186290857,0.09519651508604156,up,False
XG,-0.012698244246828416,5.584279169969071,-0.2681152925220221,0.7888968549442467,0.8456836716939212,down,False
XIAP,-0.09504450257822405,8.079031193118556,-1.708858367384565,0.08908435973826667,0.15446596879182728,down,False
XIRP1,-0.03740600263900706,5.858262320458763,-0.8055008678489545,0.42152177189168805,0.527982047633331,down,False
XIRP2,-0.025966386420189558,4.659115507520618,-0.7540948606658708,0.45171112134593727,0.5564358992894819,down,False
XK,-0.6335723495158572,8.536010684572165,-5.062514090534091,9.61779123264975e-07,1.0169371559842214e-05,down,False
XKR3,-0.0550369916432345,4.21622461027835,-1.5494951541676,0.12290059715100314,0.20046115911702767,down,False
XKR4,-0.03012891300158138,6.367396753536083,-0.529262056054873,0.5972317583241898,0.6894312180096899,down,False
XKR5,-0.010405895643236462,6.054852347469073,-0.2542304599855868,0.7995881181657727,0.8543726913673688,down,False
XKR6,0.0412982978266383,6.304556178747423,1.2757981090266557,0.2035598898578069,0.30004049563135443,up,False
XKR7,-0.0218667640909036,6.869271360634021,-0.5816411910393263,0.5614869694156077,0.657899210008414,down,False
