gene,log2FC,FDR,AveExpr
TM6SF2,-1.2706912396992607,0.0078071136078250525,8.747209332046392
CNKSR3,-1.265501643390591,8.698934000437255e-13,7.284467935706186
FMO4,-1.2650324081368964,2.6836842743648572e-08,7.2131664356237115
HNF1A-AS1,-1.2638508720708224,1.0465970565831862e-06,8.02668141765464
SLC36A1,-1.26068499202378,2.2334119045864655e-07,8.729866294649485
TMEM63C,-1.2605227373525345,3.720749060523758e-13,5.966046457670103
AKR1B10,-1.2579882212457765,0.00016507477305186162,9.180852489515464
SLC1A1,-1.2554791574735713,1.6344370749940844e-05,8.919758857237113
RUNDC3B,-1.2467615633905957,3.5384255932776046e-11,6.497452882494845
APOBEC3B,-1.2465221489793858,7.600528442137998e-09,7.783200797
MAOB,-1.2422157111553904,0.0021440144128354443,7.578836080077321
FAM151A,-1.2357570886125764,5.326344974201661e-07,6.993861030097938
HOXA6,-1.2310728674312896,2.044369495189389e-11,7.633329051984536
GDPD2,-1.225545588160677,1.0039535140864552e-07,6.922347949525774
MIR194-1,-1.222277340029069,0.002741027011053215,6.021735839489691
RNF152,-1.222041955979389,3.908055018979571e-11,7.955334546139176
FABP2,-1.2167246056812928,0.008654593467446991,9.028960246268042
C10orf99,-1.2166902751680766,0.017176336334783146,9.945873322448454
ADH1C,-1.2015263580940836,0.0012578195465151743,9.674009022242268
SUSD2,-1.2013371259392152,0.003086675993526953,8.240446084489692
APOC3,-1.1986753539370998,0.028799028052905046,7.847816029649484
UGT1A3,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A1,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A10,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A9,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A4,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A5,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A6,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A8,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
UGT1A7,-1.1984489072732547,1.6836474699123652e-06,7.6701716938402065
AGMO,-1.1941619736871072,0.013276683559516582,6.080352589273197
SLC7A9,-1.1908300509471514,0.04036595189381375,7.8338788659226815
CNTN4,-1.1877823061913304,4.844552095801589e-19,5.526959560639175
TREH,-1.184538378567657,0.005118735031019978,7.1500711605
MT1X,-1.1830657941305471,6.502481462290026e-11,9.346101350871134
PIGZ,-1.1806598325385824,9.317412462034224e-06,7.7334267559123715
PRLR,-1.1785963428398514,6.614318432584734e-06,7.594592640170103
SLC35G1,-1.1785955034455622,9.074283145703325e-06,7.868513106829897
BEST4,-1.1742762970364744,2.8122014319487486e-05,7.910789092417525
FRMD1,-1.1738427233181827,1.86074072259507e-18,6.465316783118555
CDKN2B,-1.168640927250003,1.2774059712234916e-09,8.852545736469073
MAOA,-1.1677762227558155,2.612438543738462e-06,9.092231509190722
SLC5A11,-1.1626827266316022,8.670353487347272e-05,6.612793243943299
ABCC2,-1.161630050132132,0.016612086630481922,6.886008456984535
PTGR1,-1.1594766489260078,0.00013646507862698565,7.953615186417526
AQP11,-1.157534156088265,8.376362247615961e-06,7.266397095335052
USP2,-1.1538298981538064,4.7757965126608134e-08,8.050579038463917
HSD3B2,-1.1519621170385816,0.0006816595183481033,5.989812951304124
ADH6,-1.1502185134582463,5.4128888934867584e-05,7.427877791097939
OTC,-1.1483395744149076,0.03166943843445327,6.5981601804432986
GCNT4,-1.1439359281765293,0.017790235593922902,6.973530302618557
GABRA2,-1.1417420159815048,2.0287513157439903e-08,6.069533427783506
INPP5J,-1.141634974550212,1.5654990347823e-07,7.581312264041237
TMEM37,-1.140197733596727,3.84065422430422e-06,9.347604858907216
MOGAT2,-1.1348699272240985,0.0006924243474983845,9.027134124324743
VIPR1,-1.1322992405031673,3.6006223586644267e-07,8.991127148371135
HNF4G,-1.1279355201210386,0.0018862464679896154,9.375008132046391
CHAD,-1.1196065496273748,5.258502165191889e-10,7.317036914340207
METTL7B,-1.1167580023287567,6.097645804440504e-06,8.918136133592784
EPHX2,-1.1125494575137385,5.856721138703833e-05,7.923688806793814
CYP2J2,-1.1108088689904836,4.434994573983851e-05,8.382274134489691
MT1A,-1.1093637388128883,4.155470663294545e-12,9.130009863561856
SLC5A9,-1.1083516314318143,0.014774554148607698,7.269096160015464
CHN2,-1.1078814227790748,1.5951584722997367e-05,8.73869585435567
A1CF,-1.1000654832352001,1.0371401049698311e-05,9.062557620876289
ETFDH,-1.0992225980253707,1.3305313621754945e-09,8.284425610438143
MATN2,-1.094787879929699,4.896041832899063e-08,8.28981645872165
BTNL8,-1.088597507378429,0.0001392839820344971,9.359630682716494
BTNL3,-1.088597507378429,0.0001392839820344971,9.359630682716494
TDP2,-1.0839493481131068,4.74766814168839e-10,9.748278441546391
