gene,log2FC,FDR,AveExpr
SAMD9L,1.2649051572896415,8.305917642177393e-11,9.73478577235567
NFKBIZ,1.2647467087642656,3.2139700460998197e-15,9.163816053128865
EGR1,1.2641287706553914,2.1887531066279965e-07,9.560257292293814
COL4A1,1.2585447088800228,1.88510241035664e-08,8.089323921046391
NR4A2,1.2562365322066613,1.8714500841105047e-06,7.80380855341237
IL13RA2,1.2500669976448187,0.00015843231273273182,5.283049368381443
ADGRE2,1.2482115275169097,2.43830029581678e-07,7.615275064391752
C1R,1.2464869236469394,2.601527777977908e-08,9.027431414247422
IFITM3,1.2431752071691315,4.79144528740094e-19,8.76711074370103
OAS2,1.2413802935089864,5.74270917384077e-10,7.880435306814434
ADGRG6,1.2365799643911242,1.2696316743293132e-07,8.971690229597938
HCAR2,1.232420368856241,0.00022815427999071475,7.013198222773195
ANXA5,1.2282705602029598,8.250460468402989e-13,10.070952422386597
HGF,1.2279753698805491,1.5679238571611612e-06,6.4157416078917535
PLA2G7,1.2268579759973548,0.00012108862678323187,8.217309870051546
KDR,1.226271264523783,8.444759967636977e-09,7.649737569005154
LUM,1.2258761821749484,8.472295725368352e-06,9.295848361309277
PGC,1.2235022039719858,0.012024944718446761,7.035999143902062
C1S,1.2227398547193502,3.0795716447945937e-06,9.223696043762887
SRGN,1.2224151177737772,2.3386917843456267e-06,9.037351785247422
COL15A1,1.2208465883091986,1.1848728024830397e-08,8.011225106030928
SERPING1,1.2179312435792804,4.3207872855720716e-07,8.86191606576804
CYR61,1.2097294730195554,6.162187779238055e-06,7.089030275082473
SPARCL1,1.2080814523303394,1.8624682316936251e-06,8.762056083201031
PXDN,1.2078232081390077,2.6721756296379303e-07,8.414751232206186
CDH11,1.2070460369566662,5.9388056884021804e-09,8.207353895747422
CCL4L2,1.2066781260147996,2.845786675525504e-05,7.007934693664949
CCL4,1.2066781260147996,2.845786675525504e-05,7.007934693664949
CCL4L1,1.2066781260147996,2.845786675525504e-05,7.007934693664949
GNA15,1.2028144510808705,1.5029841728554676e-08,7.9838196125257745
SLFN11,1.2023823561606735,2.0274373040083524e-07,7.367403152242269
FOS,1.2000676266791714,3.5086736464129865e-06,9.416719666902061
MMP9,1.199678878223044,0.00046720671888622926,8.344588026458762
ITGAX,1.1937973517182856,3.0212157197684833e-06,7.837396156731961
HEG1,1.1933370915243122,6.177143066424871e-09,7.797148613402062
SERPINB9,1.1881033037700863,4.164355251067398e-06,8.56833007678866
MGP,1.18805332381924,4.914061508607397e-05,7.217386304530929
SPARC,1.187483908498935,2.9173042436703376e-07,10.523208650809277
FLT1,1.1857228595417517,2.369860905244211e-09,7.102171870025773
GJA1,1.1838438075206161,1.304296072846012e-06,7.232632330969072
PLS3,1.18213241011152,2.7474194616906957e-16,7.814897812963918
MIR21,1.1812210756390034,2.6648797548672915e-09,9.209314631881444
CXCL5,1.1781023717716703,4.204687619323913e-05,7.857495196417525
TGFBI,1.1762418979809741,1.9770121439452093e-07,9.413299313690722
STRIP2,1.1744637188964075,5.0210987003998675e-08,6.432740511644331
PIK3R3,1.1733092558789648,9.716117402579869e-15,8.017689515113402
SLC7A5,1.170056763978331,3.389640130460169e-09,8.120912434773196
SERPINB4,1.1699362040750536,0.009328810093863327,5.657597087520618
FFAR4,1.1688303687320278,0.0003226427936347613,8.934558926685567
MNDA,1.1672034556194486,1.7714759302335068e-05,5.773713290783506
OLFM4,1.1645834583557217,4.3085562303295253e-05,12.766748736020618
COL3A1,1.1610639730502061,2.5291277481779056e-06,9.479578369469072
HK2,1.160319872683928,5.7646973394514226e-05,10.166837393618557
IL1R1,1.1602207420285326,9.554920115843082e-07,8.152480255902063
CD93,1.1599532280005294,7.874515177682163e-08,8.114768229561856
S100A11,1.158800593397995,4.831355835673218e-17,10.257498617190722
ARNTL2,1.1570192517605733,3.1627468991315396e-11,7.391992630458763
THY1,1.1546795737943967,2.0093626564869735e-06,7.7616357942525775
CASP5,1.153047206728326,1.0518274869364789e-05,9.984296923386598
LPCAT1,1.1529122876765223,2.4303491580367236e-13,8.750995593206184
FCGR2B,1.146983348511096,7.954694653664502e-05,9.518455046103092
FCGR2C,1.146983348511096,7.954694653664502e-05,9.518455046103092
VSNL1,1.1465655273958797,0.001485011666148296,6.985194602809279
TRIM22,1.1444850370454551,9.724289264142562e-11,7.935833675536082
HIF1A,1.143005762845668,1.2274625735228995e-11,10.829753334489691
CDC25B,1.1422003873387911,6.836656549804374e-15,8.167138447680411
MYOF,1.1414078517600448,9.31762379713953e-08,9.863496307134021
NMUR2,1.1404294566839335,0.001446967783664144,6.422010779304125
POSTN,1.1397758254698775,0.007473369800610898,8.074852928262887
ACPP,1.1383681627552837,4.677070878649146e-07,7.372514173675258
KCNJ15,1.1369804529164922,2.4814896748294284e-05,6.229543483675258
PITPNC1,1.135816540762681,8.18636621533417e-09,8.175188929195876
HLA-DPA1,1.1348679967404856,3.596246241254815e-08,11.832942720067011
NID1,1.1269303320787492,5.593917508527495e-08,8.00020975948969
TM4SF1,1.126627861387421,0.0002190964564657235,9.873098544371134
RBPMS,1.1264826467346678,3.733578692913441e-11,8.077020093541236
IFI16,1.1251235447399575,4.0471476233192105e-09,8.285274588242268
CYYR1,1.1234682101992632,1.5416657376183774e-08,7.390371700551547
ADGRF5,1.1229063379133217,1.2484867504376936e-07,6.911495802195876
FBN1,1.1171783802293866,4.829471553250189e-06,7.595281111814433
IFITM2,1.1171214225332955,3.970023792960161e-11,8.7968650755567
MZB1,1.1163999572034928,5.852805399359636e-06,8.289302864701032
GPX8,1.115809279582983,6.488220479539648e-10,5.887913322458764
AREG,1.1154056954149025,0.00037081881693913524,8.297120735840206
LAMC1,1.115185985145346,4.262742317880375e-09,8.27295309807732
TFPI2,1.113258707599365,0.00023595482248996497,5.583999172051547
SOD2,1.11188063789165,3.3374085053813335e-07,9.562213332608248
HLA-DPB1,1.1095404595824565,1.236637678000914e-07,11.451802448798968
CDH5,1.1029472686236748,9.553481056729918e-09,8.177538165561856
PTPN13,1.1022567997854127,1.0177484496960912e-09,6.504930124768041
TRIM29,1.0956774080454492,1.9732473530663005e-05,7.534849674798968
F2RL2,1.095327286327171,1.392493003269734e-06,6.805693325969071
